Codigo Pais,Region,Año,Tasa de natalidad,Tasa de mortalidad,Consumo de energía eléctrica (kWh per cápita),PIB (USD),PIB per cápita (USD),Personas que utilizan Internet (% de la población),Tasa de mortalidad infantil,Esperanza de vida al nacer (años),Densidad de población (habitantes por km2 de superficie terrestre),Desempleo (% de la fuerza laboral total)
5,4,1998,13.3,6.8,9783.44,399000000000.0,21319.0,30.8132,5.3,78.6317,2.4356,7.676
5,4,1997,13.6,7.0,9291.08,435000000000.0,23468.6,16.3694,5.4,78.4805,2.41035,8.362
5,4,1996,13.9,7.0,9108.3,400000000000.0,21861.3,3.27525,5.6,78.078,2.38353,8.506
5,4,1995,14.2,6.9,8994.36,367000000000.0,20319.6,2.75965,5.8,77.8293,2.35242,8.469
5,4,1994,14.5,7.1,8812.49,322000000000.0,18045.9,2.2321,6.0,77.878,2.32417,9.719
5,4,1993,14.7,6.9,8701.76,312000000000.0,17634.0,1.97461,6.3,77.878,2.2997,10.874
5,4,1992,15.1,7.1,8550.33,325000000000.0,18569.5,1.76876,6.7,77.378,2.27731,10.729
5,4,1991,14.9,6.9,8522.16,325000000000.0,18821.3,1.0972,7.1,77.2756,2.24985,9.579
6,0,2014,9.6,9.2,8355.84,442000000000.0,4351.89,80.9958,3.1,81.4902,103.563,5.62
6,0,2013,9.4,9.4,8509.61,430000000000.0,4351.89,80.6188,3.2,81.1366,102.747,5.335
6,0,2012,9.4,9.4,8548.88,409000000000.0,4351.89,80.03,3.3,80.9366,102.115,4.865
6,0,2011,9.3,9.1,8425.17,431000000000.0,4351.89,78.74,3.5,80.9829,101.642,4.564
6,0,2010,9.4,9.2,8382.71,392000000000.0,4351.89,75.17,3.6,80.5805,101.287,4.82
6,0,2009,9.2,9.3,7944.8,400000000000.0,4351.89,73.45,3.7,80.3317,101.036,5.301
6,0,2008,9.3,9.0,8233.01,430000000000.0,4351.89,72.87,3.8,80.4317,100.771,4.128
6,0,2007,9.2,9.0,8207.47,389000000000.0,4351.89,69.37,3.8,80.1805,100.456,4.858
6,0,2006,9.4,9.0,8244.4,336000000000.0,4351.89,63.6,3.9,79.8805,100.129,5.243
6,0,2005,9.5,9.1,7977.68,316000000000.0,38403.1,58.0,4.1,79.3317,99.6346,5.628
